No errors
No warnings
34 ms
data source=aircraftreports
1172 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,TAP262A,47.6167,-35.1667,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,269,127,,AIREP,ARP TAP262A 4737N 03510W 0615 F330 M41 269/127 4659N 03000W 0637 4459N 02001W KT CSTXA DDL IG1 050615 J99A,
2021-08-05T06:17:02Z,2021-08-05T06:15:00Z,,,,,,,ETD76T,47.3833,-10.8667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,280,122,,AIREP,ARP ETD76T 4723N 01052W 0615 F370 M50 280/122 SEPAL 0623 LAPEX KT A6BLI QXS LCG 050615 L94A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,ETD97G,47.05,-12.2167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,280,124,,AIREP,ARP ETD97G 4703N 01213W 0615 F380 M53 280/124 SEPAL 0629 LAPEX KT A6BLB QXT EUA 050615 L79A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,QTR1AA,47.0167,-29.0167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,270,115,,AIREP,ARP QTR1AA 4701N 02901W 0615 F380 M53 270/115 4659N 02000W 0653 4659N 01500W KT A7ALO QXT EUA 050615 J88A,
2021-08-05T06:21:46Z,2021-08-05T06:15:00Z,,,,,,,ELY008,47.0167,-49.7167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,283,98,,AIREP,ARP ELY008 4701N 04943W 0615 F380 M53 283/98 4700N 04000W 0656 4700N 03000W KT 4XEDA QXS YYT 050615 L52A,
2021-08-05T06:21:46Z,2021-08-05T06:15:00Z,,,,,,,THY8,46.05,-48.7167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,277,77,,AIREP,ARP THY8 4603N 04843W 0615 F340 M41 277/77 4600N 04000W 0653 4600N 03000W KT TCJJU QXS YYT 050615 F25A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,UAE256,45.85,-54.7833,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,279,63,,AIREP,ARP UAE256 4551N 05447W 0615 F370 M48 279/63 4600N 05000W 0637 4700N 04000W KT A6EWH DDL YQX 050615 F44A,
2021-08-05T06:21:25Z,2021-08-05T06:15:00Z,,,,,,,UAL1141,27.9,-147.9667,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,340,10,,AIREP,ARP UAL1141 2754N 14758W 0615 F350 MS49 340/010KT,
2021-08-05T06:21:46Z,2021-08-05T06:15:00Z,,,,,,,UAE9889,22.05,63.9833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,115,27,,AIREP,ARP UAE9889 2203N 06359E 0615 F380 M46 115/27,
2021-08-05T06:18:12Z,2021-08-05T06:14:00Z,,,,,,,N252DV,61.4167,-53.4167,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,287,31,,AIREP,ARP N252DV 6125N 05325W 0614 F410 M46 287/31 6200N 05000W 0626 6300N 04000W KT N252DV DDL XXH 050615 A62A,
